,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
307,Romania,2014,,25686.13,,,149.745,145.725,439.695,3225.085,322.105,761.8,82610.075,1209.535
308,Romania,2015,,14855.385,,,146.23,148.24,510.555,1687.45,40.2,874.38,54492.36,2539.21
309,Romania,2016,589.47,13735.16,704.045,,124.125,173.875,472.38,1555.835,49.75,899.025,46282.54,2247.815
310,Romania,2017,429.675,13657.675,2731.335,5126.465,128.65,156.29,696.025,1589.55,71.865,767.89,48321.735,3080.1
311,Romania,2018,330.685,15307.48,2200.71,5275.37,134.185,152.78,735.245,1645.885,144.735,879.985,50460.55,4264.72
312,Romania,2019,325.165,14647.055,2055.535,5699.71,128.155,177.41,784.52,1741.925,176.405,960.925,33572.54,4071.365
313,Romania,2020,341.255,12937.085,1715.83,5640.03,128.66,143.74,801.625,1934.455,160.325,961.95,31199.08,3322.1
314,Romania,2021,383.485,13075.745,2018.96,5991.04,95.995,172.395,980.08,1714.885,198.53,1178.605,32422.48,3929.86
315,Romania,2022,215.625,12791.32,1977.83,6166.715,88.965,204.065,1127.89,1543.06,226.18,1354.075,29802.185,4645.77
316,Romania,2023,168.38,13815.125,1631.52,,69.865,196.025,1336.98,1625.99,279.96,1616.94,32034.24,6421.02
317,Scotland (NUTS 2021),2014,,10496.54,,,31.58,119.19,915.335,762.525,1951.39,4357.13,48400.635,18714.17
318,Scotland (NUTS 2021),2015,,8983.13,,,30.05,116.13,861.795,675.88,2078.085,4743.88,44183.745,18017.705
319,Scotland (NUTS 2021),2016,,8301.075,,,31.575,117.14,893.82,730.815,2242.955,5129.96,43222.725,16567.005
320,Scotland (NUTS 2021),2017,,7704.71,,,30.045,118.65,1087.725,792.37,2518.165,5921.375,44070.645,16445.715
321,Scotland (NUTS 2021),2018,,7015.2,,,30.55,136.465,1167.585,920.12,2676.335,6469.34,44080.62,17676.245
322,Serbia,2014,,13581.415,,,57.8,6.085,67.43,1638.61,78.585,146.015,13564.175,3151.995
323,Serbia,2015,,11408.635,,,48.675,7.1,57.8,1538.325,67.94,127.265,12413.565,2893.1
324,Serbia,2016,74.54,9980.07,683.525,1138.365,53.75,4.055,53.24,1228.115,90.26,143.5,11373.99,3559.6
325,Serbia,2017,74.545,8541.625,760.655,1036.515,40.06,5.58,56.29,927.49,102.435,158.725,10523.38,4263.205
326,Serbia,2018,149.605,7329.715,597.92,997.04,52.745,7.1,62.38,809.905,171.415,233.79,9524.62,5180.45
